sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
122,3.3684258595781107,1.1485228384057324,2.8304197727650116,0.09931895098650916,1.6003663571159938,33.60300057297496,full_OnSSET,71.11433030452844,64.08076920742256,4176.0,0.9010950244910345
123,3.0709085317146307,1.6402555377111958,2.231937933281083,0.11528316988385696,1.6332469505151197,26.885929193151142,full_OnSSET,26.180075609563048,23.59073587257635,4019.0,0.9010950244910345
124,4.50811753159686,1.40314028217811,2.667727517352832,0.12819933813109186,1.9883752202784457,19.666308314664434,full_OnSSET,70.77878793192679,63.778413644965305,5239.0,0.9010950244910345
125,4.78624336095271,1.1196546041243267,2.078305546172944,0.10655035918757413,1.5379113886131195,13.119005931676671,full_OnSSET,30.02035212218787,27.05118993077236,4947.0,0.9010950244910345
126,4.436350860499195,1.589928127640406,2.1710688132500406,0.07446406998693753,2.1872066199083937,11.513919918166263,full_OnSSET,27.53898580637048,24.81524308964966,4170.0,0.9010950244910345
127,3.498900531060911,1.4901107089947774,2.7250781032170224,0.11153879393289223,1.9080801999924553,21.910671492126987,full_OnSSET,66.73985208101357,60.13894864546894,4438.0,0.9010950244910345
128,3.638092979912907,1.9655862212518365,2.587495586327742,0.07379571480591465,1.9434824784389568,21.18032364213536,full_OnSSET,62.73466531107782,56.52989477492252,3902.0,0.9010950244910345
129,3.8958788706939504,1.3037427174544352,2.486355093268881,0.09849219971604115,2.1565160962658174,18.261139457732998,full_OnSSET,51.46793912018739,46.377503862008325,4492.0,0.9010950244910345
130,4.094285285546883,1.421708487624143,2.6749370575820652,0.1301127972774494,1.742816513635573,35.952878170886734,full_OnSSET,74.50749887225484,67.13833652106021,5083.0,0.9010950244910345
131,3.704200679358004,1.1971674722244734,2.1325617166534423,0.11749348299892333,1.696164407558018,36.39663393735887,full_OnSSET,38.37148571540563,34.57635486048082,4623.0,0.9010950244910345
132,4.5221177189582304,1.5828122468903287,2.3336222950263292,0.13298621027134855,1.7775930005384604,43.70711015719538,full_OnSSET,64.3324190914638,57.96962275679007,5291.0,0.9010950244910345
133,3.8133126330113245,1.7516635985881583,2.720249430542102,0.1162866180138015,2.030390956882616,22.43858562328417,full_OnSSET,69.47097291034132,62.599948036060006,4718.0,0.9010950244910345
134,4.415506953688871,1.5998052038804629,2.120383976984937,0.087566877053359,2.007412798608116,32.83182537326162,full_OnSSET,42.24968843031263,38.070984030851136,4462.0,0.9010950244910345
135,4.422367077340643,1.2307663363694823,2.881383613561758,0.0844499810250372,1.7368823521161656,33.81673499157506,full_OnSSET,87.04904712104033,78.43946324745505,4445.0,0.9010950244910345
136,3.7637158852680175,1.1718515883461547,2.827633511908771,0.09824877781155267,2.1775459814388958,17.389645885473666,full_OnSSET,71.61119596668374,64.52849238343116,4443.0,0.9010950244910345
137,3.4529176012973792,1.7227264733691303,2.452853276932908,0.07312190268817415,2.1708021577570897,18.142077181700508,full_OnSSET,44.04443413050193,39.68822045151839,3770.0,0.9010950244910345
138,3.7297273263034523,1.2732257464933678,2.7321049776740853,0.09993651906511333,1.8294653711936102,11.018666337360882,full_OnSSET,57.99614863926216,52.26004097848161,4405.0,0.9010950244910345
139,4.192128210678178,1.3652608688076584,2.5717192112581424,0.13578347721665893,1.5487154920983632,47.536261122998695,full_OnSSET,74.72695233496644,67.33608494441695,5196.0,0.9010950244910345
140,4.4027890927596225,1.871280815950681,2.682364323511702,0.09799089215481183,1.8848982415690734,38.60058962032099,full_OnSSET,79.31590415379556,71.47116659599295,4728.0,0.9010950244910345
